                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                 1.9561,                0.91456,                0.98472,                0.98231,                      1,                  0.995,                 0.6891,                 1.2584,                0.69752,                0.95803,               0.000515,               0.000515,               0.000515
                     77,                  1.458,                0.80682,                0.98198,                0.98231,                      1,                  0.995,                 0.6891,                 1.2584,                0.69752,                0.95803,              0.0004952,              0.0004952,              0.0004952
                     78,                 1.6506,                0.82771,                 1.0585,                0.99166,                      1,                  0.995,                0.71075,                 1.2526,                0.64854,                0.95733,              0.0004754,              0.0004754,              0.0004754
                     79,                 1.8686,                0.98684,                 1.0729,                0.99171,                      1,                  0.995,                0.68907,                 1.2817,                0.63632,                0.96572,              0.0004556,              0.0004556,              0.0004556
                     80,                 1.7251,                 1.0205,                 1.0271,                0.99124,                      1,                  0.995,                 0.6741,                 1.3278,                0.65685,                0.97617,              0.0004358,              0.0004358,              0.0004358
                     81,                 1.5099,                0.80199,                0.98287,                0.99124,                      1,                  0.995,                 0.6741,                 1.3278,                0.65685,                0.97617,               0.000416,               0.000416,               0.000416
                     82,                 1.4763,                0.77154,                0.97388,                0.99044,                      1,                  0.995,                0.65916,                  1.413,                0.65478,                0.98669,              0.0003962,              0.0003962,              0.0003962
                     83,                 1.4963,                0.82182,                 1.0225,                 0.9905,                      1,                  0.995,                 0.6133,                   1.47,                0.65682,                0.99148,              0.0003764,              0.0003764,              0.0003764
                     84,                 1.7399,                0.86341,                 1.1595,                0.99021,                      1,                  0.995,                0.61303,                 1.4918,                0.65762,                0.99044,              0.0003566,              0.0003566,              0.0003566
                     85,                 1.5363,                 0.8839,                0.96715,                0.99021,                      1,                  0.995,                0.61303,                 1.4918,                0.65762,                0.99044,              0.0003368,              0.0003368,              0.0003368
                     86,                 1.4085,                0.79032,                 1.0042,                0.98981,                      1,                  0.995,                0.63913,                 1.4851,                0.66583,                0.98336,               0.000317,               0.000317,               0.000317
                     87,                 1.6154,                 0.7642,                 1.0175,                0.98759,                      1,                  0.995,                0.63911,                 1.4333,                0.64502,                0.96924,              0.0002972,              0.0002972,              0.0002972
                     88,                 1.5762,                0.79439,                0.98207,                0.98562,                      1,                  0.995,                0.62272,                 1.3767,                0.63465,                0.95717,              0.0002774,              0.0002774,              0.0002774
                     89,                 1.6576,                0.78804,                0.98551,                0.98562,                      1,                  0.995,                0.62272,                 1.3767,                0.63465,                0.95717,              0.0002576,              0.0002576,              0.0002576
                     90,                 1.5002,                0.86209,                 0.9574,                0.98515,                      1,                  0.995,                 0.6363,                 1.3487,                0.62854,                0.95645,              0.0002378,              0.0002378,              0.0002378
                     91,                 1.3037,                0.80527,                 1.0233,                0.98272,                      1,                  0.995,                0.63072,                 1.3224,                0.65634,                0.95727,               0.000218,               0.000218,               0.000218
                     92,                 1.8539,                0.99119,                 1.0109,                0.97939,                      1,                  0.995,                0.62185,                 1.3174,                0.71664,                0.95813,              0.0001982,              0.0001982,              0.0001982
                     93,                 1.5764,                 0.8141,                 1.0955,                0.97939,                      1,                  0.995,                0.62185,                 1.3174,                0.71664,                0.95813,              0.0001784,              0.0001784,              0.0001784
                     94,                 1.2755,                0.68911,                 1.0038,                 0.9775,                      1,                  0.995,                0.60886,                 1.3315,                0.74065,                0.96475,              0.0001586,              0.0001586,              0.0001586
                     95,                 1.3525,                0.70605,                0.94677,                0.97709,                      1,                  0.995,                0.59444,                 1.3306,                0.76626,                0.96559,              0.0001388,              0.0001388,              0.0001388
                     96,                 1.4595,                0.73321,                0.96257,                0.97638,                      1,                  0.995,                0.61405,                 1.3259,                0.77308,                0.96377,               0.000119,               0.000119,               0.000119
                     97,                  1.319,                0.74448,                0.96926,                0.97638,                      1,                  0.995,                0.61405,                 1.3259,                0.77308,                0.96377,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                 1.5434,                0.81718,                 1.0524,                0.97587,                      1,                  0.995,                0.60484,                 1.3156,                0.77712,                0.96408,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                 1.4165,                0.66099,                0.97682,                0.97638,                      1,                  0.995,                0.61399,                  1.304,                0.77812,                0.96362,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                  1.437,                0.75755,                 1.0479,                0.97703,                      1,                  0.995,                0.62463,                 1.2924,                0.77657,                0.96531,               3.98e-05,               3.98e-05,               3.98e-05
